id,region,river,atnr,location,lid
105,Copper,Tazlina River,nr,Glennallen,\N
106,Copper,Tazlina River,nr,Gulkana,\N
107,Copper,Tolsona Lake,at,Tolsona Lk Resort,\N
108,Copper,Tonsina River,at,Thompson Pass,\N
109,Copper,Tonsina River,at,Tonsina,\N
110,Copper,Town Lake,at,Chitina,\N
111,Copper,Twin Lakes,nr,Slana,\N
112,Southcentral,Alexander Creek,at,Mouth,\N
113,Southcentral,Amber Lake,at,Oilwell Road,\N
114,Southcentral,Anchor River,at,Anchor Point,\N
115,Southcentral,Beluga Lake,at,Homer,\N
116,Southcentral,Big Lake,at,Big Lake,\N
117,Southcentral,Big River Lakes,at,Big River Lakes,\N
118,Southcentral,Buskin Lake,nr,Kodiak,\N
119,Southcentral,Campbell Creek,at,Anchorage,\N
120,Southcentral,Campbell Creek,at,Lake Otis Pky. Anchorage,\N
121,Southcentral,Campbell Lake,at,Anchorage,\N
122,Southcentral,Caribou Creek,at,Sheep Mountain,\N
123,Southcentral,Caribou Creek,at,Skwentna,\N
124,Southcentral,Chelatna Lake,nr,Lake Creek,\N
126,Southcentral,Chester Creek,at,Arctic Blvd. Anchorage,\N
127,Southcentral,Chester Creek,at,Gambell Anchorage,\N
128,Southcentral,Cook Inlet,at,Anchorage,\N
129,Southcentral,Cook Inlet,at,Kasilof,\N
130,Southcentral,Cottonwood Lake,at,Wasilla,\N
131,Southcentral,Daniels Lake,nr,Kenai,\N
132,Southcentral,Deshka River,at,Big Susitna,\N
133,Southcentral,Dinkel Lake,at,Wasilla,\N
134,Southcentral,Eagle River,at,Eagle River,\N
135,Southcentral,Echo Lake,nr,Palmer,\N
136,Southcentral,Eight Mile Creek,nr,Skwentna,\N
137,Southcentral,Eklutna Lake,nr,Eklutna,\N
138,Southcentral,Eklutna River,at,Eklutna Project,\N
139,Southcentral,Elephant Lake,nr,Kodiak,\N
142,Southcentral,Glacier Creek,at,Girdwood,\N
143,Southcentral,Glacier Creek,nr,Seward,\N
144,Southcentral,Jewel Lake,at,,\N
145,Southcentral,Karluk Lake,nr,Karluk,\N
146,Southcentral,Kasilof River,at,Cohoe,\N
147,Southcentral,Kasilof River,at,Kasilof,\N
148,Southcentral,Kenai Lake,at,Cooper Landing,\N
149,Southcentral,Kenai River,at,Cooper Landing,\N
150,Southcentral,Kenai River,at,Kenai,\N
151,Southcentral,Kenai River,at,Kenai Keys,\N
152,Southcentral,Kenai River,at,Soldotna,\N
153,Southcentral,Kenai River,at,Sterling,\N
154,Southcentral,Knik River,nr,Eklutna Lake,\N
155,Southcentral,Knik River,nr,Eklutna Project,\N
157,Southcentral,Kroto Creek,at,Oilwell Road,\N
159,Southcentral,Lake Hood-Spenard,at,Anchorage,\N
160,Southcentral,Little Kitoi Lake,at,Kitoi Bay,\N
162,Southcentral,Little Susitna River,at,Houston,\N
163,Southcentral,Little Susitna River,nr,Palmer,\N
165,Southcentral,Louise Lake,nr,Kodiak,\N
166,Southcentral,Lucille Lake,at,Wasilla,\N
167,Southcentral,Maclaren River,at,Denali Hwy,\N
168,Southcentral,Matanuska River,at,Glacier Park Resort,\N
169,Southcentral,Matanuska River,at,Palmer,\N
170,Southcentral,Matanuska River,at,Sheep Mountain,\N
171,Southcentral,Matanuska River,at,Sutton,\N
172,Southcentral,Montana Creek,at,Parks Highway,\N
174,Southcentral,Moose Creek,at,Oilwell Road,\N
175,Southcentral,Moose River,at,Sterling,\N
177,Southcentral,Ninilchik River,at,Ninilchik,\N
178,Southcentral,Puntilla Lake,at,Puntilla,\N
179,Southcentral,Resurrection Creek,at,Hope,\N
180,Southcentral,Resurrection River,at,Seward,\N
181,Southcentral,Skwentna River,at,Puntilla,\N
182,Southcentral,Skwentna River,at,Skwentna,\N
183,Southcentral,Snow River,nr,Seward,\N
185,Southcentral,Susitna River,at,Alexander Creek,\N
186,Southcentral,Susitna River,at,Curry,\N
187,Southcentral,Susitna River,at,Gold Creek,\N
188,Southcentral,Susitna River,at,Montana Creek,\N
189,Southcentral,Susitna River,at,Sunshine,\N
190,Southcentral,Susitna River,at,Susitna Landing,\N
191,Southcentral,Susitna River,at,Susitna Station,\N
192,Southcentral,Susitna River,at,Talkeetna,\N
193,Southcentral,Susitna River,at,Yentna River,\N
194,Southcentral,Talkeetna River,at,Talkeetna,\N
195,Southcentral,Trail Lake,at,Moose Pass,\N
196,Southcentral,Trail Lake,nr,Moose Pass (Lower Lake),\N
197,Southcentral,Trail Lake,at,Moose Pass (Upper Lake),\N
198,Southcentral,Trail River,nr,Lawing,\N
199,Southcentral,Upper Russian Lake,at,Upper Russian Lake,\N
200,Southcentral,Wasilla Lake,at,Wasilla,\N
201,Southcentral,Westchester Lagoon,at,,\N
202,Southcentral,Willow Creek,at,Willow,\N
203,Southcentral,Willow Lake,at,Willow,\N
518,Yukon,Porcupine,at,Old Crow,\N
205,Southcentral,Yentna River,at,Big Bend,\N
206,Southcentral,Yentna River,at,Fish Creek,\N
207,Southcentral,Yentna River,at,Lake Creek,\N
208,Southcentral,Yentna River,at,Skwentna,\N
209,Southcentral,Yentna River,at,Susitna,\N
210,Southeast,Anuk Lake,at,Juneau,\N
211,Southeast,Auke Lake,at,Juneau,\N
212,Southeast,Baranof Lake,at,Baranof,\N
213,Southeast,Cabin Creek,at,Smeaton Bay,\N
214,Southeast,Chilkat River,at,Klukwan,\N
215,Southeast,Favorite Bay,at,Angoon,\N
216,Southeast,Harris Creek,at,Hollis,\N
217,Southeast,Hood Bay,at,Angoon,\N
218,Southeast,Indian Creek,at,Hollis,\N
219,Southeast,Maybeso Creek,at,Hollis,\N
220,Southeast,Mendenhall Lake,nr,Juneau,\N
221,Southeast,Mitchell Bay,at,Angoon,\N
222,Southeast,Montana Creek,nr,Auke Bay,\N
223,Southeast,Petersburg Lake,at,Petersburg,\N
224,Southeast,Salmon River,at,Gustavus,\N
225,Southeast,Silvis Lake,at,Beaver Falls,\N
226,Southeast,Skagway River,at,Skagway,\N
227,Southeast,Stikine River,at,Wrangall,\N
228,Southeast,Taiya River,nr,Skagway,\N
229,Southeast,Taku River,at,Taku Pass,\N
230,Southeast,Unuk River,at,Unuk River,\N
231,Southeast,Windham Bay,at,Windham Bay,\N
232,Southwest,Aleknagik Lake,at,Aleknagik,\N
233,Southwest,Aniak River,at,Aniak,\N
234,Southwest,Aniak Slough,at,Aniak,\N
235,Southwest,Bering Sea,at,Nunivak,\N
236,Southwest,Bering Sea,at,St. George Island,\N
237,Southwest,Bering Sea,at,St. Paul Island,\N
238,Southwest,Big River,nr,McGrath,\N
239,Southwest,Bristol Bay,nr,King Salmon,\N
240,Southwest,Brooks Lake,at,Brooks Lake,\N
241,Southwest,Cape Newenham Inlet,at,Cape Newenham,\N
242,Southwest,Lake Clark,at,Port Alsworth,\N
243,Southwest,Cold Bay,at,Cold Bay,\N
244,Southwest,Crooked Creek,at,Crooked Creek,\N
246,Southwest,Eek Lake,at,Eek,\N
247,Southwest,Eek River,at,Eek,\N
248,Southwest,Egegik River,at,Egegik,\N
249,Southwest,Farewell Lake,at,Farewell,\N
250,Southwest,Gold Fish Lake,at,Port Heiden,\N
251,Southwest,Goodnews Bay,at,Goodnews Bay,\N
252,Southwest,Goodnews Bay,at,Platinum,\N
253,Southwest,Goodnews River,at,Goodnews Bay,\N
254,Southwest,Hardenbourg Bay,at,Port Alsworth,\N
255,Southwest,Iliamna Lake,at,Iliamna,\N
256,Southwest,Iliamna Lake,at,Kakhanok Bay,\N
258,Southwest,Intricate Bay,at,Pope Vannoy Landing,\N
259,Southwest,Johnson River,at,Nunapitchuk,\N
260,Southwest,Kakhonok Bay,at,Kakhanok Bay,\N
