sim,obs
28141.867,19000.0
31272.838,20000.0
31587.797,21000.0
32100.936,22400.0
32095.547,22700.0
31930.86,22900.0
33292.246,24500.0
41104.1,27400.0
44780.586,31000.0
37896.543,37100.0
35714.65,41900.0
41240.83,44800.0
49440.6,47300.0
56270.52,46500.0
56254.867,43000.0
56945.17,44100.0
56805.92,46100.0
57517.51,46800.0
57042.65,45700.0
57519.742,46900.0
57601.406,49200.0
59156.598,48900.0
66911.055,45200.0
75226.27,40900.0
73554.42,38600.0
68714.516,38500.0
68995.945,38300.0
74155.96,37200.0
77787.7,34200.0
72484.87,30900.0
68572.25,28200.0
63291.707,26800.0
57033.4,26300.0
51321.18,26000.0
48427.77,26700.0
50881.54,28600.0
52118.742,31100.0
49114.508,33000.0
49639.56,35100.0
50942.72,38400.0
52740.39,44000.0
57851.37,48700.0
75727.8,52400.0
91311.516,54400.0
90860.92,52900.0
84908.67,50600.0
82464.66,56900.0
84688.56,68900.0
78763.94,76600.0
65973.164,71000.0
